order_date,region,product_category,customer_id,units,unit_price,discount,satisfaction,revenue,churned
2024-04-12,West,Clothing,CUST-1249,15.0,32.17,0.28,2.0,347.44,0
2025-03-11,,Home,CUST-9865,1.0,167.81,0.33,5.0,112.43,1
2024-09-27,West,Electronics,CUST-1770,17.0,196.96,0.28,5.0,2410.79,0
2024-04-16,West,Clothing,CUST-5363,1.0,9999.0,0.27,5.0,78.48,0
2024-03-12,West,Electronics,CUST-2077,15.0,38.48,0.25,1.0,432.9,0
2024-01-21,East,Electronics,CUST-9427,,58.1,0.3,4.0,81.34,0
2024-05-01,East,Electronics,CUST-9580,14.0,8.59,0.06,5.0,113.04,1
2025-04-11,North,Electronics,CUST-8901,500.0,183.29,0.35,1.0,953.11,1
2024-08-02,West,Electronics,CUST-5858,8.0,,0.35,4.0,145.39,0
2024-11-26,North,Electronics,CUST-7544,19.0,117.42,0.01,2.0,2208.67,0
2025-04-03,West,Books,CUST-5719,7.0,58.44,0.33,1.0,274.08,0
2024-03-28,West,Electronics,CUST-3814,19.0,113.06,0.05,3.0,2040.73,0
2025-01-07,East,Electronics,CUST-4374,6.0,,0.13,1.0,689.2,1
2024-04-09,East,Home,CUST-2252,6.0,166.8,0.3,1.0,700.56,1
2024-05-10,South,Sports,CUST-7996,3.0,45.25,0.06,4.0,127.6,0
2024-11-04,East,Electronics,CUST-5673,7.0,7.14,0.33,2.0,33.49,1
2024-12-09,South,Clothing,CUST-5530,19.0,31.69,0.33,3.0,403.41,0
2025-05-06,South,Home,CUST-7881,8.0,180.5,0.2,5.0,1155.2,0
2025-02-17,South,Electronics,CUST-7949,10.0,175.41,0.0,5.0,1754.1,0
2025-01-20,South,Sports,CUST-7241,15.0,121.5,0.11,1.0,1622.02,1
2024-07-10,South,Sports,CUST-9017,15.0,122.1,0.25,4.0,1373.62,0
2024-10-03,North,Electronics,CUST-7941,1.0,134.68,0.39,4.0,82.15,1
,East,Electronics,CUST-8002,7.0,39.2,0.25,5.0,205.8,0
,,Sports,CUST-2331,,183.31,0.1,3.0,659.92,0
2024-11-09,West,Clothing,CUST-5261,6.0,86.66,0.25,2.0,389.97,0
2024-01-22,East,Clothing,CUST-8648,1.0,79.71,0.22,3.0,62.17,1
2024-09-09,East,Home,CUST-6115,5.0,106.19,0.31,2.0,366.36,0
2025-04-19,South,Home,CUST-5637,1.0,14.16,0.04,5.0,13.59,0
2024-02-28,North,Sports,CUST-5854,4.0,37.43,0.3,2.0,104.8,0
2025-05-25,South,Sports,CUST-4177,2.0,148.92,0.22,4.0,232.32,1
2025-04-20,North,Sports,CUST-8730,,21.15,0.39,1.0,129.01,0
2024-07-08,West,Home,CUST-3180,5.0,122.61,0.14,1.0,527.22,0
2024-08-31,East,Sports,CUST-5892,,52.84,0.25,5.0,396.3,1
2025-05-19,West,Home,CUST-8043,1.0,80.91,0.37,4.0,50.97,1
2024-05-10,North,Clothing,CUST-1137,6.0,61.3,0.04,3.0,353.09,1
2025-04-29,North,Electronics,CUST-7327,13.0,74.36,0.37,4.0,609.01,0
2024-01-21,West,Sports,CUST-4472,15.0,145.21,0.28,1.0,1568.27,1
2024-06-15,North,Sports,CUST-6449,4.0,62.94,0.03,1.0,244.21,0
2024-09-30,West,Home,CUST-3832,13.0,115.45,0.12,4.0,1320.75,1
2025-01-22,East,Sports,CUST-4579,15.0,97.83,0.28,4.0,1056.56,0
2024-11-11,West,Home,CUST-6971,,134.42,0.03,1.0,1043.1,0
2024-01-14,East,Electronics,CUST-5164,5.0,187.68,0.23,3.0,722.57,0
2024-08-29,,Electronics,CUST-8941,15.0,,0.14,5.0,1907.26,0
2024-12-11,North,Electronics,CUST-6569,4.0,46.91,0.25,5.0,140.73,1
2024-12-05,West,Clothing,CUST-5300,,11.08,0.02,4.0,130.3,0
2024-04-01,North,Electronics,CUST-7269,13.0,56.14,0.35,5.0,474.38,0
2025-01-01,West,Home,CUST-4818,2.0,121.04,0.39,1.0,147.67,1
2025-03-30,West,Electronics,CUST-2906,19.0,15.03,0.39,1.0,174.2,0
2025-03-03,South,Home,CUST-7254,19.0,101.79,0.3,4.0,1353.81,0
2025-05-23,North,Clothing,CUST-1760,4.0,121.38,0.05,4.0,461.24,0
2024-02-04,South,Home,CUST-8830,4.0,70.18,0.3,4.0,196.5,1
2024-07-24,North,Electronics,CUST-8350,11.0,155.33,0.01,3.0,1691.54,1
2024-03-21,,Electronics,CUST-7238,5.0,25.79,0.01,5.0,127.66,0
2025-01-22,East,Clothing,CUST-7090,11.0,19.65,0.13,4.0,188.05,0
2024-01-02,West,Home,CUST-7031,10.0,147.0,0.2,2.0,1176.0,1
2025-01-24,North,Electronics,CUST-8687,8.0,101.62,0.31,2.0,560.94,1
,North,Sports,CUST-9472,6.0,139.24,0.27,1.0,609.87,1
2025-04-21,West,Electronics,CUST-2887,6.0,89.79,0.18,5.0,441.77,0
2025-02-05,North,Clothing,CUST-4266,8.0,,0.11,4.0,377.72,1
2024-06-10,North,Books,CUST-1666,15.0,164.72,0.4,2.0,1482.48,1
2024-07-20,South,Clothing,CUST-5188,14.0,160.89,0.17,5.0,1869.54,0
2024-09-26,North,Clothing,CUST-1671,11.0,140.47,0.18,1.0,1267.04,1
